participant_id,condition,order,fluency,adapts,helpfulness
24,Position,1,3,2.75,3.25
24,Pose,2,4,2.75,3.25
24,KT,3,1,2.0,2.75
23,KT,1,3,2.75,4.5
23,Position,2,4,3.5,4.75
23,Pose,3,4,4.75,5.0
22,Position,1,4,5.0,5.0
22,KT,2,3,1.0,2.5
22,Pose,3,4,4.5,4.5
21,Pose,1,4,5.0,4.5
21,Position,2,4,4.25,4.5
21,KT,3,4,4.5,4.5
20,KT,1,2,2.75,3.5
20,Pose,2,4,3.25,3.75
20,Position,3,3,3.25,2.25
19,Pose,1,2,4.0,3.5
19,KT,2,1,2.0,2.0
19,Position,3,3,3.5,3.25
18,KT,1,2,2.25,3.0
18,Position,2,4,3.75,3.0
18,Pose,3,4,3.25,4.25
17,Pose,1,3,3.25,2.75
17,Position,2,3,2.5,3.0
17,KT,3,3,2.25,2.75
16,Pose,1,4,3.75,4.25
16,KT,2,3,4.0,3.75
16,Position,3,5,5.0,5.0
15,Position,1,4,4.0,4.5
15,KT,2,3,1.25,2.75
15,Pose,3,5,5.0,5.0
14,Position,1,5,3.25,4.75
14,Pose,2,3,2.5,4.25
14,KT,3,2,2.25,2.5
13,KT,1,4,3.5,3.5
13,Pose,2,2,2.5,1.75
13,Position,3,4,3.25,2.25
12,Position,1,3,5.0,5.0
12,Pose,2,3,5.0,5.0
12,KT,3,2,3.75,4.0
11,Pose,1,5,4.0,5.0
11,Position,2,3,3.5,3.25
11,KT,3,2,2.5,2.75
10,Pose,1,4,3.5,3.0
10,KT,2,4,3.75,3.25
10,Position,3,3,3.75,3.0
9,KT,1,4,4.25,3.75
9,Position,2,4,4.75,3.5
9,Pose,3,5,5.0,4.25
8,KT,1,4,4.0,4.0
8,Pose,2,4,4.0,4.0
8,Position,3,3,2.25,2.0
7,Position,1,2,2.25,4.25
7,KT,2,4,2.5,4.5
7,Pose,3,4,3.5,4.5
6,Position,1,4,1.5,3.75
6,KT,2,3,2.0,3.0
6,Pose,3,4,3.75,3.5
5,Pose,1,3,3.0,4.75
5,Position,2,4,3.5,4.5
5,KT,3,4,4.25,5.0
4,Position,1,4,5.0,3.75
4,Pose,2,5,5.0,5.0
4,KT,3,3,3.75,3.75
3,KT,1,4,4.0,3.75
3,Pose,2,4,4.0,4.75
3,Position,3,3,2.75,3.25
2,Pose,1,4,3.0,3.75
2,KT,2,3,1.5,4.25
2,Position,3,2,2.75,1.75
1,KT,1,3,3.5,3.75
1,Position,2,4,3.0,3.0
1,Pose,3,4,3.75,3.75
